"english_source","preferred_id","alternate_or_adverse","decision_status","semantic_constraint","authority_evidence","evidence_locator","evidence_sha256_or_access","decision_date"
"Cauchy sequence; tends to zero; equivalence class","barisan Cauchy; mendekati nol; kelas ekuivalensi","deret Cauchy; menuju nol; kelas ekivalen","admit_with_variant","A Cauchy sequence is a function on natural-number indices; real numbers in this construction are equivalence classes, not the raw sequences themselves.","Open Logic frozen source and two independent semantic replays","cauchy.tex definitions and construction","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"rational subtraction orientation","s-r","r-s","corrected_source_defect","For representatives <p,q> and <r,s>, the second integer component is s-r; the displayed operation confirms the orientation and the source prose reverses it.","Open Logic frozen source | independent semantic replay","rationals.tex subtraction paragraph","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"supremum union existence premise","S nonempty","S has an upper bound","corrected_source_defect","The union contains a member cut because S is nonempty; boundedness supplies properness, not existence of an element in the union.","Open Logic frozen source | independent semantic replay","cuts.tex supremum proof","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"real zero notation","0_Real","0^mathbbR; 0_Rat in real construction","corrected_source_defect","Use the chapter's declared real-zero object consistently and do not retain rational-zero notation after passing to the real construction.","Open Logic frozen source | independent semantic replay","cuts.tex and cauchy.tex zero constructions","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Cauchy appendix sequence/class typing","operations and order on equivalence classes represented by Cauchy sequences","raw Cauchy sequences are an ordered complete field","adverse_source_defect_retained","The source repeatedly attributes field and completeness structure to raw sequences although quotienting by the equivalence relation is required; the translation clarifies exact local occurrences but does not fabricate the missing global proof.","Open Logic frozen source | final independent paragraph review","cauchy.tex field and completeness exposition","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"representative independence; undefined derived operations","future proof obligations for well-defined quotient operations; subtraction/division definitions","implicit representative independence; undefined alpha-beta and alpha divided by beta","adverse_source_defects_retained","The source omits representative-independence proofs for several quotient operations and invokes subtraction/division while their displayed definitions are commented out. Preserve these as exact upstream defects rather than treating the exposition as a completed formal proof.","Open Logic frozen source | final independent paragraph review","integers.tex; rationals.tex; checking-details.tex; cauchy.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Dedekind-infinite set","himpunan tak hingga Dedekind","himpunan Dedekind-takhingga; himpunan infinit Dedekind","admit_source_bound","The adjective names the existence of an injection into a proper subset, not merely an arbitrary informal notion of infinity.","Open Logic frozen source | independent semantic replay","hilberts-hotel.tex definition","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Dedekind algebra; f-closed; closure","aljabar Dedekind; f-tertutup; penutupan","algebra Dedekind; tertutup-f; closure","admit_source_bound","Keep the algebraic structure distinct from its closure operator and use f-tertutup for closure under the specified function.","Open Logic frozen source | independent semantic replay","dedekind-algebra.tex and card-sb.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Schroeder-Bernstein intermediate consequent","B approximately C","malformed source consequent with unmatched delimiter","corrected_source_defect","The intermediate proposition must conclude that B and C are equinumerous; the source token stream is syntactically malformed and does not express the proposition used by the final proof.","Open Logic frozen source | independent semantic replay","card-sb.tex intermediate proposition","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"range inclusion in Schroeder-Bernstein helper","ran(g) subseteq B proved explicitly","source jumps directly to the reverse inclusion","corrected_source_omission","Both inclusions are required to prove ran(g)=B; the target supplies the omitted first inclusion before preserving the source's reverse-inclusion argument.","Open Logic frozen source | independent semantic replay","card-sb.tex helper proof","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Closure lemma carrier and function premise","unbound A and unspecified function premise retained as adverse evidence","silently infer a valid endofunction","adverse_source_defect_retained","The source quantifies o in A without binding A and says any function although the existence proof needs an endofunction/domain or ambient-set premise. Do not invent a global repair without an explicit source-correction decision.","Open Logic frozen source | independent semantic replay","dedekind-algebra.tex Closure definition and lemma","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"propositional variable; logical operator","variabel proposisi; operator logis","variabel proposisional; operator logika","admit_source_bound","Use stable Indonesian noun phrases for atomic variables and truth-functional operators; do not translate invariant metavariables or connective symbols.","Open Logic frozen source | established Indonesian logic register","propositional-logic syntax-and-semantics token surface","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"conditional; biconditional; falsity; truth","implikasi; biimplikasi; kepalsuan; kebenaran","kondisional; bikondisional; salah; benar","admit_source_bound","These entries name connectives or truth constants as mathematical objects, so noun forms are required rather than sentence-level adjectives.","Open Logic frozen source | established Indonesian logic register","formulas.tex defined connective tokens","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"structure; valuation","struktur; valuasi","interpretasi; penilaian","admit_source_bound","Retain the source distinction between a structure and a truth-value assignment; do not collapse both into interpretation.","Open Logic frozen source | established Indonesian logic register","propositional-logic driver and valuations-sat.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"sentence; signed formula","kalimat; formula bertanda","proposisi; formula berlabel","admit_source_bound","Use kalimat for closed formulas in proof-system prose and formula bertanda for tableau nodes carrying an explicit truth-value sign.","Open Logic frozen source | Indonesian mathematical-logic register","first-order-logic/proof-systems overview","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"derive; derivable; derivability","menurunkan; dapat diturunkan; keterderivasian","membuktikan; terbukti; kebuktian","admit_source_bound","Preserve the syntactic proof relation and distinguish it from semantic consequence; passive contexts may require sentence-level Indonesian morphology rather than an English suffix.","Open Logic frozen source | Indonesian proof-theory register","first-order-logic/proof-systems overview","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"tableau; discharge; discharged; undischarged","tableau; melepaskan; dilepaskan; belum dilepaskan","pohon kebenaran; membatalkan; terbuka","admit_source_bound","Retain tableau as the technical calculus name and use explicit assumption-release wording for natural-deduction discharge status.","Open Logic frozen source | Indonesian proof-theory register","first-order-logic/proof-systems overview","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"semantic consequence direction","formula merupakan konsekuensi semantis dari Gamma","formula diikuti secara semantis oleh Gamma","corrected_translation_review","Indonesian prose must preserve the direction Gamma entails A: the set entails the formula, and the formula is its semantic consequence.","Open Logic frozen source | two independent semantic replays","propositional-logic/syntax-and-semantics/introduction.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"defined-connective tag punctuation","period inside the outer true branch","period outside the outer iftag","corrected_source_render_defect","When every optional defined-connective tag is false, source punctuation outside the branch renders as a standalone line; the target binds it to the true branch.","Open Logic frozen source | exact PDF render replay","propositional-logic/syntax-and-semantics/formulas.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"implication abbreviation parenthesis","not A or B without unmatched closing parenthesis","not A or B followed by unmatched closing parenthesis","corrected_source_defect","The disjunctive abbreviation has no opening parenthesis and therefore must not retain the frozen source's stray closing parenthesis.","Open Logic frozen source | structural and semantic replay","propositional-logic/syntax-and-semantics/formulas.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"formation-sequence identity relation","syntactic identity ident","semantic/equivalence symbol equiv","corrected_source_defect","The case proof compares symbol strings under the chapter's defined syntactic identity; using equiv changes the relation and is inconsistent with the formation rules.","Open Logic frozen source | structural and semantic replay","propositional-logic/syntax-and-semantics/formation-sequences.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"formation-sequence strong-induction measure","last index n and smaller last index m","sequence length m less than final index n","corrected_source_defect","A sequence A_0 through A_n has length n+1; the proof's induction and prefix comparison are coherent only when phrased in terms of final indices.","Open Logic frozen source | two independent semantic replays","propositional-logic/syntax-and-semantics/formation-sequences.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Local Determination fixed formula","the previously fixed formula A","some newly rebound formula A","corrected_source_scope_defect","The theorem fixes A before specifying agreement on its occurring propositional variables; the conclusion must retain that same A.","Open Logic frozen source | two independent semantic replays","propositional-logic/syntax-and-semantics/valuations-sat.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"incorrect upstream header comments","retain as non-rendering adverse metadata","treat comments as actual part or chapter identity","adverse_source_metadata_retained","Two frozen comments name the wrong enclosing part or chapter, while paths and localized olfileid values are correct; the comments do not render and are not semantic authority.","Open Logic frozen source | exact file-ID replay","preliminaries.tex and formation-sequences.tex headers","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"natural deduction; sequent calculus; soundness; validity; entailment","deduksi alami; kalkulus sekuen; kesahihan; validitas; perikutan","deduksi natural; kalkulus sequent; soundness; keabsahan for both soundness and validity","admit_source_bound","Keep syntactic soundness distinct from semantic validity, and use the established Indonesian names for the two proof systems.","Open Logic frozen source | independent Indonesian semantic replay","first-order-logic/proof-systems introduction and survey sections","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"tableau assumption label","Asumsi","Assumption","corrected_render_fallback","The upstream tableau macro hard-codes an English reader-facing justification label outside the token system; the Indonesian locale overrides only that label.","Open Logic frozen source | exact 8-page PDF render and extraction replay","open-logic-config.sty TAss; proof-systems/tableaux.tex rendered page 6","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"sentence-initial indefinite article token","Suatu plus lower-case technical noun; explicit Suatu sistem derivasi for reordered compound","empty A token leaving a lower-case noun at sentence start; Sistem Suatu derivasi","corrected_render_register","Only the source's sentence-initial uppercase article form receives Suatu for derivation, tableau, and signed formula; the reordered Indonesian compound sistem derivasi is handled explicitly. Mid-sentence article tokens remain empty where omission is idiomatic.","Open Logic frozen source | exact 8-page PDF render and extraction replay","locale id A-token overrides and proof-systems/introduction.tex soundness paragraph","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"sequent calculus; sequent; antecedent; succedent","kalkulus sekuen; sekuen; anteseden; sukseden","kalkulus sequent; baris kiri; baris kanan","admit_source_bound","Keep the sequent's ordered left and right formula sequences distinct from ordinary set notation; rule orientation remains invariant.","Open Logic frozen source | independent Indonesian semantic replay","first-order-logic/sequent-calculus complete chapter","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"soundness; validity; satisfaction","kesahihan; validitas; keterpenuhan","keabsahan for both soundness and validity; keterpuasan","admit_source_bound","Kesahihan names the proof system property, validitas the semantic property of a sequent, and keterpenuhan the satisfaction notion; never collapse the three.","Open Logic frozen source | admitted proof-systems register | independent semantic replay","sequent-calculus/soundness.tex and proof-theoretic-notions.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"derivability; derivable; subset","keterderivasian; dapat diturunkan; himpunan bagian","keterbuktian; terpuaskan; subhimpunan as primary","normalized_after_independent_review","Preserve the syntactic derivability relation and the admitted set-theory surface; subhimpunan remains a permissible synonym but is not the chapter's primary surface.","Open Logic frozen source | admitted locale terminology ledger | independent semantic replay","proof-theoretic-notions.tex; soundness.tex; provability files","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"antecedent exchange rule labels","left exchange on four antecedent reorderings","right exchange labels on antecedent reorderings","corrected_source_defect","Exchange-rule labels must name the side whose sequence is permuted; genuine succedent exchanges remain right exchange.","Open Logic frozen source | structural and semantic replay","sequent-calculus/proving-things.tex four exact proof steps","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"De Morgan proof-search target formulas","both occurrences retain negation before B","two source occurrences omit negation before B","corrected_source_defect","The target sequent is not A or not B implies not (A and B); both intermediate occurrences must preserve not B.","Open Logic frozen source | structural and semantic replay","sequent-calculus/proving-things.tex De Morgan example","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"propositional conjunction derivation context","both premises explicitly weakened/exchanged to antecedent A,B","apply right conjunction directly to A=>A and B=>B","corrected_source_proof_defect","The displayed right-conjunction rule requires matching contexts; explicit weakening and exchange make both premises instantiate the rule correctly.","Open Logic frozen source | independent proof-tree replay","sequent-calculus/provability-propositional.tex conjunction derivation","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"soundness induction conclusions","A and B,Gamma=>Delta; Pi=>Lambda","Gamma=>Delta with dropped conjunction; Pi setminus Lambda","corrected_source_proof_defects","The left-conjunction case must retain the principal antecedent formula and the cut premise must remain a sequent rather than a set difference.","Open Logic frozen source | independent semantic and proof replay","sequent-calculus/soundness.tex left-conjunction and cut cases","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"partial proof-search construction; proof-system editorial scope","pohon pencarian bukti parsial; kalkulus sekuen","complete derivation; natural deduction","corrected_source_description","An unfinished upward construction is not yet a derivation, and the editorial describes the surrounding sequent-calculus chapter.","Open Logic frozen source | independent semantic replay","proving-things.tex; proof-theoretic-notions.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"natural deduction; discharge; eigenvariable","deduksi alami; melepaskan asumsi; variabel eigen","deduksi natural; membatalkan asumsi; peubah khas","admit_source_bound","Keep the natural-deduction calculus name, assumption-discharge operation, and quantifier-rule eigenvariable condition distinct and explicit.","Open Logic frozen source | Indonesian proof-theory register | independent semantic replay","first-order-logic/natural-deduction complete chapter","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"soundness consequence wording","kesimpulan mengikuti premis-premisnya","kesimpulan berlaku secara mandiri","corrected_translation_review","Soundness preserves semantic consequence from premises; it does not require every derivable conclusion to be true independently of the premises.","Open Logic frozen source | independent semantic replay","natural-deduction/soundness.tex opening definition","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"quantifier-rule scope","aturan-aturan eliminasi kuantor","semua aturan kuantor","corrected_translation_review","The closed-term substitution restriction in the reviewed paragraph applies to quantifier elimination rules, not to every introduction and elimination rule.","Open Logic frozen source | independent semantic replay","natural-deduction/quantifier-rules.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"natural-deduction source defects","path-scoped corrected formulas, labels, side conditions, and semantic carriers","literal reproduction of malformed or scope-shifting source forms","corrected_source_defects","Repairs are admitted only where the frozen source contradicts its immediately surrounding definitions, displayed rules, or proof obligation; all unrelated structure remains invariant.","Open Logic frozen source | 225-check structural replay | independent semantic replay","rules-and-proofs; quantifier-rules; proving-things; proving-things-quant; proof-theoretic-notions; provability-consistency; provability-propositional; soundness; identity","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"tableau; branch; closed; open","tableau; cabang; tertutup; terbuka","pohon kebenaran; jalur; selesai; belum selesai","admit_source_bound","Tableau names the proof calculus; branch names a path through its tree; closed and open state whether a contradictory signed pair occurs on that branch.","Open Logic frozen source | established Indonesian proof-theory register | independent semantic replay","first-order-logic/tableaux complete chapter","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"signed formula; sentence","formula bertanda; kalimat","formula berlabel; proposisi","admit_source_bound","A signed formula includes an explicit truth sign, while a sentence is a closed formula; neither term may be collapsed into an ordinary proposition.","Open Logic frozen source | admitted proof-systems register | independent semantic replay","tableaux/rules-and-proofs.tex; derivations.tex; proof-theoretic-notions.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"closed term; eigenvariable; constant symbol","suku tertutup; variabel eigen; simbol konstanta","term tertutup; peubah khas; simbol konstan","admit_source_bound","The quantifier rules require a closed term in the substitution case and a fresh eigenvariable or constant under the exact side condition; these roles are not interchangeable.","Open Logic frozen source | independent semantic replay","tableaux/quantifier-rules.tex and proving-things-quant.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"proof-theoretic notion; satisfiable; unsatisfiable; consistency","gagasan teori-bukti; dapat dipenuhi; tak dapat dipenuhi; konsistensi","notion pembuktian; terpuaskan; tidak terpuaskan; kekonsistenan","admit_source_bound","Keep syntactic tableau derivability and consistency distinct from semantic satisfiability and validity, while preserving the theorem that relates them.","Open Logic frozen source | admitted locale terminology | independent semantic replay","tableaux/proof-theoretic-notions.tex; provability-consistency.tex; soundness.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"reflexivity; monotonicity; transitivity; compactness","refleksivitas; monotonisitas; transitivitas; kekompakan","sifat refleksif; monotonicity; sifat transitif; kompaksi","admit_source_bound","These names label distinct metatheoretic properties of tableau derivability; compactness requires an explicitly finite subset witness.","Open Logic frozen source | Indonesian mathematical register | independent semantic replay","tableaux/proof-theoretic-notions.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"cut rule","aturan potong","aturan cut; pemotongan","admit_source_bound","Use Indonesian prose aturan potong while preserving the invariant LaTeX macro and proof-rule identity for Cut.","Open Logic frozen source | independent semantic replay","tableaux/provability-consistency.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"tableaux source defects OLP-0098--OLP-0104","path-scoped editorial, carrier, term-scope, signed-formula, assumption, and line-reference repairs","literal reproduction of natural-deduction scope, structure/valuation collapse, unrestricted terms, malformed signs, packed assumptions, or wrong line 1 and 3","corrected_source_defects","Repairs follow the frozen chapter's own calculus, rule side conditions, and displayed derivations; all unrelated structure remains invariant.","Open Logic frozen source | deterministic structural replay | independent semantic replay","tableaux.tex; rules-and-proofs.tex; quantifier-rules.tex; derivations.tex; proving-things.tex; proving-things-quant.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"tableaux source defects OLP-0105--OLP-0111","path-scoped carrier, set-brace, compactness, index, polarity, signed-formula, quantifier, symmetry, transitivity, and identity-sign repairs","literal reproduction of malformed sets or signs, Cn/Cm and n+1/n+2 drift, B/A drift, wrong identity premises, or generic sign S","corrected_source_defects","Repairs are admitted only where the frozen expression conflicts with its local definition, theorem statement, tableau rule, or induction case; exact rejected forms remain adverse evidence.","Open Logic frozen source | deterministic structural replay | independent semantic replay","proof-theoretic-notions.tex; provability-consistency.tex; provability-propositional.tex; provability-quantifiers.tex; soundness.tex; identity.tex; soundness-identity.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"axiomatic derivation; modus ponens; quantifier rule","derivasi aksiomatik; modus ponens; aturan kuantor","deduksi aksiomatik; MP as the only FOL rule","admit_source_bound","Axiomatic derivations may use both MP and QR in the FOL rendering; localized prose may call MP the rule needed for a particular example but must not deny QR globally.","Open Logic frozen source | independent semantic replay","axiomatic-deduction/rules-and-proofs.tex; proving-things.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"QR eigenconstant freshness","constant absent from Gamma, B, and generalized matrix A(x)","constant absent only from Gamma and B","corrected_source_defect","The soundness and quantified-deduction proofs require the eigenconstant to be fresh for the generalized matrix as well as the assumptions and surrounding formula.","Open Logic frozen source | cross-unit rule/proof replay","axioms-rules-quantifiers.tex; deduction-theorem-quantifiers.tex; provability-quantifiers.tex; soundness.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"axiomatic-deduction source defects OLP-0112--OLP-0125","path-scoped formula-marker, carrier, axiom-reference, closed-term, QR, compactness, deduction, soundness, and identity repairs","literal reproduction of missing markers, wrong references or conclusions, incomplete freshness, and proof-scope drift","corrected_source_defects","Repairs are admitted only where the frozen expression conflicts with its displayed axiom or inference rule, declared tag rendering, theorem statement, or local proof obligation; all unrelated structure remains invariant.","Open Logic frozen source | deterministic replay | independent semantic replay","rules-and-proofs; axioms-rules-quantifiers; proving-things; proof-theoretic-notions; deduction-theorem; deduction-theorem-quantifiers; provability-propositional; provability-quantifiers; soundness; identity","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"upstream courtesy reporting","exact frozen-source locator plus minimal proposed diff","memory-based issue list or raw adverse-ledger dump","admit_workflow_control","After the 722-file closure, report only credible upstream-actionable findings in one concise issue, link the Indonesian edition without requesting a whole-branch merge, and distinguish certain defects from interpretive questions.","Direct user instruction | OPENLOGIC_UPSTREAM_REPORTING_PROTOCOL_20260813.md","C:/Users/Floris/Documents/interlanguage/04_mirrors/id/_control/OPENLOGIC_UPSTREAM_REPORTING_PROTOCOL_20260813.md","1cba10bc4ceff073e77d57713c7d8b02c3b9b47a062590b9440d17f21fa7b2af","2026-08-13"
"axiomatic hypothesis justification label","Hip","Hyp","corrected_render_fallback","The compact proof-line label abbreviates Indonesian hipotesis while preserving the upstream small-caps layout and invariant Hyp macro calls in content files.","Open Logic frozen source | exact 15-page PDF render and extraction replay","open-logic-config.sty Hyp override; axiomatic-deduction rendered pages 5, 8, and 12","10faae5b89d873593bb8ee883997a3a17e31d7004b3e37130ef00a13b28a6279","2026-08-13"
"equation reference label","Pers.","Eq.","corrected_render_fallback","Cleveref's English equation label leaked into Indonesian reader navigation; Pers. abbreviates persamaan and leaves equation numbers and hyperlink targets invariant.","Open Logic frozen source | exact 15-page PDF render and extraction replay","open-logic-locale.sty equation cref names; axiomatic-deduction rendered references","f597a8248619b0e6274f0639bbaa7085c7d270386e6b6eebc8f3ef82aa16ed1b","2026-08-13"
"completeness and model-theory token family","lengkap; bahasa; simbol predikat; simbol fungsi; domain; nilai","komplet; language; predikat/fungsi without symbol-role distinction; daerah asal; value","admit_source_bound","Complete is the metatheoretic adjective; predicate and function tokens denote nonlogical symbols rather than their interpretations; domain and value retain their exact model-theoretic roles. Indonesian nouns do not acquire an English plural suffix.","Open Logic frozen source | UI predicate-logic comparator | UIN KHAS mathematical comparator","first-order-logic/completeness; ui_predikat_kuantifikasi_2020.txt lines 90 and 115; uinkhas_konsep_dasar_matematika.txt lines 3181 and 3332","9620cc73f9c8e0ad003c514a5d3748f29611c4c0 | 2a470eeb81dec51693c7ac55be36bce8b1845c00f43eb8cbcc6a9bfd66006e0f | 741d3cd3dbab5e9ffc8103b7d33397ccec306ae6d13c5159176a5dc38169f89a","2026-08-13"
"finitely satisfiable","dapat dipenuhi secara berhingga","memiliki model berhingga; terpenuhi secara finit","admit_source_bound","Every finite subset has a model; this does not mean that the whole set has a finite model, nor that one finite structure satisfies it.","Open Logic frozen source | independent semantic replay","first-order-logic/completeness/compactness.tex; compactness-direct.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"term model; saturated; covered; factoring","model suku; jenuh; tercakup; pemfaktoran","model term; tersaturasi; covered; faktorisasi","admit_source_bound","A term model uses closed terms as its carrier; saturation supplies required quantifier witnesses/instances; a covered structure has every element denoted by a closed term; factoring passes to equivalence classes for identity. These four roles must remain distinct.","Open Logic frozen source | independent semantic replay","first-order-logic/completeness/outline.tex; henkin-expansions.tex; construction-of-model.tex; identity.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"direct compactness proof with identity","preserve the upstream ordinary-term-model argument and flag the missing quotient/factored analogue","silently claim that the ordinary Truth Lemma proves the identity-enabled case","adverse_upstream_proof_scope_risk","The identity-enabled case appears to require a quotient/factored term-model construction and a finite-satisfiability version of its Truth Lemma. The Indonesian translation preserves, but does not certify or silently repair, the frozen argument.","Open Logic frozen source | two independent AI semantic reviews","first-order-logic/completeness/compactness-direct.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"indexed equivalence scope in well-definedness","explicitly read t_i approximately equals t_i' for every i=1,...,n","leave the index scope mathematically unrecorded in the evidence ledger","adverse_upstream_statement_precision_risk","The indexed tuples make the intended universal scope recoverable, but the proposition itself does not explicitly quantify the equivalence for every index. The target preserves the frozen wording and records the precision issue.","Open Logic frozen source | independent AI semantic review","first-order-logic/completeness/identity.tex well-definedness proposition","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"validity versus soundness","valid or validitas; sahih or kesahihan","sahih for a semantically valid argument","normalized_after_independent_review","Use validitas for semantic validity and kesahihan for the soundness of a derivation system; an argument is valid, while a derivation system is sound.","Open Logic frozen source | admitted proof-systems terminology | independent semantic review","first-order-logic/introduction/first-order-logic.tex and soundness-completeness.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"First-Order Logic introduction determinate source defects","path-scoped quantifier, bracket, arity, domain-value, and Atom-delimiter repairs","literal reproduction of malformed formulas or type-inconsistent examples","corrected_source_defects","Repairs are admitted only where the frozen expression is syntactically malformed or contradicts its own declared symbol arity or domain; every unrelated command and formula remains invariant.","Open Logic frozen source | 302-check deterministic replay | independent semantic review","first-order-logic/introduction/first-order-logic.tex; satisfaction.tex; substitution.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"First-Order Logic introduction upstream exposition risks","preserve seven exact source claims for later bounded upstream review","silently certify ambiguous or overbroad exposition","adverse_upstream_exposition_risks","The preorder characterization, entailment carrier, equality prerequisites, derivability-system equivalence, and consistency statement remain source-faithful in Indonesian while exact concerns are preserved for the final concise issue.","Open Logic frozen source | independent semantic review","first-order-logic/introduction/models-theories.tex; soundness-completeness.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"subformula","subformula","sub-formula; sub formula","admit_source_bound","Use the established Indonesian mathematical compound without an inserted hyphen; the singular and plural surfaces are identical.","Open Logic frozen source | Indonesian locale consistency | exact PDF extraction replay","first-order-logic/syntax-and-semantics/subformulas.tex; formation-sequences.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"free for substitution","bebas disubstitusikan bagi","bebas untuk; free for","admit_source_bound","The phrase means that substituting a term for a variable causes no variable capture; it does not mean unrestricted freedom in ordinary prose.","Open Logic frozen source | source-bound semantic replay","first-order-logic/syntax-and-semantics/substitution.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"atomic induction case; exercise marker","atomik; latihan","is atomic; exercise","corrected_render_fallback","The invariant indcase macro emitted hard-coded English reader labels; the locale override translates only those surfaces while preserving arguments, formulas, and control flow.","Open Logic frozen source | build, extraction, and 31-page render replay","open-logic-config.sty; syntax-and-semantics chapter render","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"First-Order Logic syntax determinate source defects","path-scoped tag, delimiter, formation-index, language-subscript, and syntactic-identity repairs","literal reproduction of malformed tag closure, unmatched punctuation, m0-based k-ary arguments, Frm[L0] drift, or semantic equivalence in a string-identity proof","corrected_source_defects","Repairs are admitted only where the frozen expression is malformed or conflicts with its own formation-sequence definition, language carrier, or syntactic identity relation; unrelated mathematical structure remains invariant.","Open Logic frozen source | deterministic structural replay | independent semantic replay","first-order-languages.tex; terms-formulas.tex; main-operator.tex; formation-sequences.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"First-Order Logic semantics term family","struktur; interpretasi; penugasan variabel; kepuasan; ekstensionalitas; perikutan","structure untranslated; valuasi for variable assignment; keterpuasan for the satisfaction relation; extensionality untranslated","admit_source_bound","A structure interprets nonlogical symbols, a variable assignment supplies variable values, satisfaction is the relation between a structure/assignment and a formula, and semantic consequence remains perikutan; these roles must not collapse.","Open Logic frozen source | admitted Indonesian logic register | independent semantic replay","first-order-logic/syntax-and-semantics/intro-semantics.tex; structures.tex; satisfaction.tex; assignments.tex; extensionality.tex; semantic-notions.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
